"filename", "language", "Python", "Shell Script", "Markdown", "JSON", "comment", "blank", "total"
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/plugins/team_policy/__init__.py", "Python", 3, 0, 0, 0, 0, 0, 3
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/scripts/team-cloud-foundation-smoke.sh", "Shell Script", 0, 5, 0, 0, 0, 0, 5
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-03-high-risk-tool-approval.md", "Markdown", 0, 0, 34, 0, 0, 14, 48
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-04-tool-audit.md", "Markdown", 0, 0, 36, 0, 0, 16, 52
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-05-personal-backup-policy.md", "Markdown", 0, 0, 61, 0, 0, 19, 80
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-06-encrypted-jsonl-exporter.md", "Markdown", 0, 0, 59, 0, 0, 22, 81
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-07-minio-upload-lifecycle.md", "Markdown", 0, 0, 40, 0, 0, 17, 57
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-08-restore-preview.md", "Markdown", 0, 0, 50, 0, 0, 18, 68
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/artifacts/platform-foundation-smoke-v0.json", "JSON", 0, 0, 0, 20, 0, 0, 20
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-02-team-tool-policy-hook.md", "Markdown", 0, 0, 9, 0, 0, 0, 9
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-03-high-risk-tool-approval.md", "Markdown", 0, 0, 37, 0, 0, 10, 47
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-04-tool-audit.md", "Markdown", 0, 0, 37, 0, 0, 10, 47
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-05-personal-backup-policy.md", "Markdown", 0, 0, 39, 0, 0, 10, 49
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-06-encrypted-jsonl-exporter.md", "Markdown", 0, 0, 35, 0, 0, 10, 45
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-07-minio-upload-lifecycle.md", "Markdown", 0, 0, 34, 0, 0, 10, 44
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-08-restore-preview.md", "Markdown", 0, 0, 21, 0, 0, 10, 31
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/api.py", "Python", 39, 0, 0, 0, 0, 4, 43
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/backup/__init__.py", "Python", 12, 0, 0, 0, 1, 3, 16
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/backup/policy.py", "Python", 155, 0, 0, 0, 2, 31, 188
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/backup/restore.py", "Python", 197, 0, 0, 0, 2, 34, 233
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/backup/storage.py", "Python", 162, 0, 0, 0, 2, 22, 186
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/storage/minio.py", "Python", 19, 0, 0, 0, 0, 2, 21
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/tool_audit.py", "Python", 148, 0, 0, 0, 2, 21, 171
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/tool_policy.py", "Python", 161, 0, 0, 0, 1, 14, 176
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_backup_exporter.py", "Python", 212, 0, 0, 0, 0, 24, 236
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_backup_policy.py", "Python", 87, 0, 0, 0, 0, 25, 112
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_backup_storage.py", "Python", 138, 0, 0, 0, 0, 20, 158
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_platform_foundation_suite.py", "Python", 16, 0, 0, 0, 0, 0, 16
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_restore_preview.py", "Python", 112, 0, 0, 0, 0, 20, 132
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_team_tool_policy_hook.py", "Python", 54, 0, 0, 0, 0, 16, 70
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_tool_audit.py", "Python", 113, 0, 0, 0, 0, 25, 138
"Total", "-", 1628, 5, 492, 20, 10, 427, 2582
