"filename", "language", "Markdown", "Python", "Shell Script", "JSON", "YAML", "HTML", "Docker", "Go Checksum File", "Go Module File", "Go", "comment", "blank", "total"
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/compose.yaml", "YAML", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 42
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/helm/hermes-team-cloud/Chart.yaml", "YAML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/helm/hermes-team-cloud/templates/configmap.yaml", "YAML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/helm/hermes-team-cloud/templates/deployment-api.yaml", "YAML", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 2, 78
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/helm/hermes-team-cloud/templates/deployment-web.yaml", "YAML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 2, 38
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/helm/hermes-team-cloud/templates/deployment-worker.yaml", "YAML", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 2, 51
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/helm/hermes-team-cloud/templates/ingress.yaml", "YAML", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 2, 37
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/helm/hermes-team-cloud/templates/job-migrate.yaml", "YAML", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/helm/hermes-team-cloud/templates/job-minio-buckets.yaml", "YAML", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 2, 34
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/helm/hermes-team-cloud/templates/job-spicedb-schema.yaml", "YAML", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 2, 31
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/helm/hermes-team-cloud/templates/pvc.yaml", "YAML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/helm/hermes-team-cloud/templates/secret.yaml", "YAML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/helm/hermes-team-cloud/templates/service-api.yaml", "YAML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/helm/hermes-team-cloud/templates/service-web.yaml", "YAML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/helm/hermes-team-cloud/values.yaml", "YAML", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 9, 102
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/offline/README.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 34
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/offline/install.sh", "Shell Script", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 8, 27
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/offline/manifest.yaml", "YAML", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 1, 48
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/team-cloud.Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/web-shell/index.html", "HTML", 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 9, 143
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/scripts/team-cloud-admin-user-manuals.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 38
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/scripts/team-cloud-api-docs.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 38
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/scripts/team-cloud-backup-restore-drill.py", "Python", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 82
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/scripts/team-cloud-beta-docs.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 38
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/scripts/team-cloud-beta-exit-report.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 38
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/scripts/team-cloud-bug-triage.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 38
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/scripts/team-cloud-chaos-drills.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 38
