"filename", "language", "Python", "Shell Script", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/web-shell/index.html", "HTML", 0, 0, 0, 0, 554, 0, 32, 586
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/scripts/team-cloud-foundation-smoke.sh", "Shell Script", 0, 14, 0, 0, 0, 0, 0, 14
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-09-restore-execute.md", "Markdown", 0, 0, 43, 0, 0, 0, 17, 60
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-10-org-export.md", "Markdown", 0, 0, 58, 0, 0, 0, 20, 78
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-11-deletion-request.md", "Markdown", 0, 0, 48, 0, 0, 0, 17, 65
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-12-hard-delete-worker.md", "Markdown", 0, 0, 52, 0, 0, 0, 21, 73
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-13-retention-policies.md", "Markdown", 0, 0, 48, 0, 0, 0, 20, 68
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-14-break-glass.md", "Markdown", 0, 0, 59, 0, 0, 0, 22, 81
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-15-permission-explorer-ga.md", "Markdown", 0, 0, 61, 0, 0, 0, 24, 85
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-16-audit-advanced.md", "Markdown", 0, 0, 60, 0, 0, 0, 23, 83
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-17-usage-quotas.md", "Markdown", 0, 0, 80, 0, 0, 0, 26, 106
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-18-backup-restore-tests.md", "Markdown", 0, 0, 39, 0, 0, 0, 14, 53
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-19-authz-chaos-tests.md", "Markdown", 0, 0, 41, 0, 0, 0, 13, 54
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-20-data-governance-runbooks.md", "Markdown", 0, 0, 160, 0, 0, 0, 67, 227
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-21-notification-system.md", "Markdown", 0, 0, 57, 0, 0, 0, 17, 74
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P3-22-admin-ux-final.md", "Markdown", 0, 0, 35, 0, 0, 0, 14, 49
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/artifacts/platform-foundation-smoke-v0.json", "JSON", 0, 0, 0, 56, 0, 0, 0, 56
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-08-restore-preview.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-09-restore-execute.md", "Markdown", 0, 0, 30, 0, 0, 0, 10, 40
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-10-org-export.md", "Markdown", 0, 0, 36, 0, 0, 0, 10, 46
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-11-deletion-request.md", "Markdown", 0, 0, 36, 0, 0, 0, 12, 48
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-12-hard-delete-worker.md", "Markdown", 0, 0, 35, 0, 0, 0, 12, 47
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-13-retention-policies.md", "Markdown", 0, 0, 33, 0, 0, 0, 12, 45
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-14-break-glass.md", "Markdown", 0, 0, 35, 0, 0, 0, 12, 47
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-15-permission-explorer-ga.md", "Markdown", 0, 0, 40, 0, 0, 0, 12, 52
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-16-audit-advanced.md", "Markdown", 0, 0, 39, 0, 0, 0, 12, 51
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-17-usage-quotas.md", "Markdown", 0, 0, 44, 0, 0, 0, 12, 56
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-18-backup-restore-tests.md", "Markdown", 0, 0, 42, 0, 0, 0, 12, 54
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-19-authz-chaos-tests.md", "Markdown", 0, 0, 45, 0, 0, 0, 11, 56
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-20-data-governance-docs.md", "Markdown", 0, 0, 38, 0, 0, 0, 11, 49
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-21-notification-system.md", "Markdown", 0, 0, 36, 0, 0, 0, 11, 47
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GALog/2026-05-22-p3-22-admin-ux-final.md", "Markdown", 0, 0, 25, 0, 0, 0, 7, 32
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/api.py", "Python", 180, 0, 0, 0, 0, 0, 16, 196
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/audit.py", "Python", 150, 0, 0, 0, 0, 0, 16, 166
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/authz/explain.py", "Python", 133, 0, 0, 0, 0, 0, 16, 149
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/authz/middleware.py", "Python", 2, 0, 0, 0, 0, 0, 0, 2
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/authz/outbox.py", "Python", 67, 0, 0, 0, 0, 0, 6, 73
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/backup/__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 3
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/backup/drill.py", "Python", 157, 0, 0, 0, 0, 2, 14, 173
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/backup/restore.py", "Python", 158, 0, 0, 0, 0, 1, 11, 170
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/backup/storage.py", "Python", 74, 0, 0, 0, 0, 0, 2, 76
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/break_glass.py", "Python", 249, 0, 0, 0, 0, 2, 32, 283
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/deletion.py", "Python", 234, 0, 0, 0, 0, 2, 30, 266
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/deletion_worker.py", "Python", 239, 0, 0, 0, 0, 2, 31, 272
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/memory/review.py", "Python", 28, 0, 0, 0, 0, 0, 1, 29
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/notifications.py", "Python", 176, 0, 0, 0, 0, 3, 22, 201
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/retention.py", "Python", 353, 0, 0, 0, 0, 2, 42, 397
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/team_cloud/usage.py", "Python", 207, 0, 0, 0, 0, 2, 30, 239
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_admin_ux_final.py", "Python", 46, 0, 0, 0, 0, 0, 14, 60
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_audit_advanced.py", "Python", 182, 0, 0, 0, 0, 0, 23, 205
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_authz_chaos.py", "Python", 186, 0, 0, 0, 0, 0, 47, 233
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_backup_restore_drill.py", "Python", 98, 0, 0, 0, 0, 0, 17, 115
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_break_glass.py", "Python", 137, 0, 0, 0, 0, 0, 18, 155
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_data_governance_docs.py", "Python", 51, 0, 0, 0, 0, 0, 15, 66
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_deletion_request.py", "Python", 85, 0, 0, 0, 0, 0, 18, 103
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_hard_delete_worker.py", "Python", 188, 0, 0, 0, 0, 0, 21, 209
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_notifications.py", "Python", 218, 0, 0, 0, 0, 0, 34, 252
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_org_export.py", "Python", 168, 0, 0, 0, 0, 0, 18, 186
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_permission_explorer_ga.py", "Python", 133, 0, 0, 0, 0, 0, 22, 155
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_permission_explorer_minimal.py", "Python", 11, 0, 0, 0, 0, 0, 0, 11
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_platform_foundation_suite.py", "Python", 28, 0, 0, 0, 0, 0, 0, 28
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_restore_execute.py", "Python", 134, 0, 0, 0, 0, 0, 25, 159
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_retention_policies.py", "Python", 234, 0, 0, 0, 0, 0, 25, 259
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/tests/team_cloud/test_usage_quotas.py", "Python", 167, 0, 0, 0, 0, 0, 30, 197
"Total", "-", 4476, 14, 1364, 56, 554, 16, 1099, 7579
